CMDLINE /global/homes/t/tommylin/.conda/envs/myenv/bin/python main.py
MEM 4688.433594 1707870160.9273
MEM 4688.433594 1707870161.0275
MEM 4688.433594 1707870161.1277
MEM 4688.433594 1707870161.2279
MEM 4688.433594 1707870161.3281
MEM 4688.433594 1707870161.4283
MEM 4688.433594 1707870161.5286
MEM 4688.433594 1707870161.6288
MEM 4688.433594 1707870161.7291
MEM 4688.570312 1707870161.8293
MEM 4690.976562 1707870161.9295
MEM 4691.367188 1707870162.0297
MEM 4691.968750 1707870162.1299
MEM 4692.628906 1707870162.2301
MEM 4692.628906 1707870162.3303
MEM 4692.628906 1707870162.4305
MEM 4692.628906 1707870162.5307
MEM 4692.628906 1707870162.6310
MEM 4692.628906 1707870162.7312
MEM 4692.628906 1707870162.8314
MEM 4692.628906 1707870162.9316
MEM 4692.628906 1707870163.0319
MEM 4692.628906 1707870163.1321
MEM 4692.628906 1707870163.2323
MEM 4692.628906 1707870163.3326
MEM 4692.628906 1707870163.4328
MEM 4692.628906 1707870163.5330
MEM 4692.628906 1707870163.6333
MEM 4692.628906 1707870163.7335
MEM 4692.628906 1707870163.8337
MEM 4692.628906 1707870163.9338
MEM 4692.628906 1707870164.0341
MEM 4692.628906 1707870164.1343
MEM 4692.628906 1707870164.2344
MEM 4692.628906 1707870164.3347
MEM 4692.628906 1707870164.4349
MEM 4692.628906 1707870164.5351
MEM 4692.628906 1707870164.6353
MEM 4692.628906 1707870164.7355
MEM 4692.628906 1707870164.8357
MEM 4692.628906 1707870164.9359
MEM 4692.628906 1707870165.0361
MEM 4692.628906 1707870165.1363
MEM 4692.628906 1707870165.2365
MEM 4692.628906 1707870165.3367
MEM 4692.628906 1707870165.4369
MEM 4692.628906 1707870165.5371
MEM 4692.628906 1707870165.6372
MEM 4692.628906 1707870165.7374
MEM 4692.628906 1707870165.8376
MEM 4692.628906 1707870165.9378
MEM 4692.628906 1707870166.0380
MEM 4692.628906 1707870166.1381
MEM 4692.628906 1707870166.2383
MEM 4692.628906 1707870166.3385
MEM 4692.628906 1707870166.4387
MEM 4692.628906 1707870166.5388
MEM 4692.628906 1707870166.6390
MEM 4692.628906 1707870166.7392
MEM 4692.628906 1707870166.8400
MEM 4692.628906 1707870166.9402
MEM 4692.628906 1707870167.0404
MEM 4692.628906 1707870167.1410
MEM 4692.628906 1707870167.2412
MEM 4692.628906 1707870167.3414
MEM 4692.628906 1707870167.4416
MEM 4692.628906 1707870167.5418
MEM 4692.628906 1707870167.6420
MEM 4692.628906 1707870167.7421
MEM 4692.628906 1707870167.8423
MEM 4692.628906 1707870167.9425
MEM 4692.628906 1707870168.0427
MEM 4692.628906 1707870168.1429
